안녕하세요, hello
목표, goal
존경, admiration
실현, realization
도전, venture
신뢰, faith
예의, courtesy
공감, empathy
업적, achievement
참신, novel
지지, support
인재, talent
장인, craftsman
낭만, romance
열정, zeal
유대, bond
열정, fervor
격려, encouragement
장인정신, craftsmanship
인내, patience
도덕, ethics
예의, etiquette
유쾌, cheerful
경쟁, competition
신념, conviction
자부심, self-respect
환경, surrounding
모험, adventure
의지, determination
즐거움, delight
인내심, endurance
성공, triumph
겸손, humbleness
자부심, self-pride
유익, beneficial
인기, reputation
전문가, expert
인식, perception
감동, impression
기대, anticipation
확신, confidence
역할, role
협의, consensus
일꾼, worker
유쾌, pleasantness
향상, improvement
탐구, exploration
유쾌, delightful
창출, generation
자연스러운, natural
탐색, search
열중, concentration
협동심, teamwork
창출, creation
지속, sustainability
유익, advantageous
고무적인, elastic
친밀, intimacy
감성, sensibility
주도, leadership
희망적인, optimistic
강조, accentuation
조화, harmony
다채로운, colorful
전문, specialization
탄력, resilience
온화, mildness
인공, artificial
발휘, manifestation
인정받은, recognized
경쟁력, competitiveness
지원, support
창출, establishment
융통성, flexibility
소외감, alienation
연구, research
감사, gratefulness
애정어린, affectionate
새롭, fresh
혁신적, innovative
자격, qualification
의무, obligation
발전, advancement
확장, expansion
활발, active
역량, capacity
무한, infinite
재능, talent
주도권, initiative
적극적, proactive
유능, capable
협력자, collaborator
즐겁, enjoyable
도전자, challenger
행운, fortunate
친숙, familiarity
단합, unity
활기, vitality
전략, strategy
정보, information
연결, connection
인심, consideration
천재, genius
발견, finding
이상, ideal
결합, combination
경쟁자, competitor
성실, faithful
실력, skill
협력, collaboration
의욕, ambition
참모, adviser
쾌적, pleasant
연속, consecutive
융합, fusion
실용적, practical
도전적, daring
믿음직, reliable
발전적, progressive
논리, logic
동기, motivation
희생, devotion
결합, merger
신선, refreshing
균형, equilibrium
진심, earnestness
혁신, revolution
자부심, self-satisfaction
관리, management
강력, powerful
타협, concession
희생, self-sacrifice
성공적, triumphant
창의적, inventive
접근, approach
창의력, creativity
실행, execution
지속, continuation
독자적, independent
강조, highlighting
선호, preference
즐거운, enjoyable
확장, extension
선발, selection
발전, growth
배려, consideration
효과적, effective
과제, task
열정, fervor
신념, conviction
향상, enhancement
강화, reinforcement
관련, relevance
의지, willpower
협의, coordination
정직, integrity
봉사, volunteer
경쟁력, competitiveness
고무적, resilient
참여, participation
정확, accuracy
열정, ardor
균형, equilibrium
동기, incentive
칭찬, praise
협조, collaboration
사려깊은, thoughtful
소중, valuable
동력, momentum
효율, efficacy
유쾌, pleasing
주도, lead
열심히, diligently
창조, creative
진심, heartfelt
흥미, interest
완성, completion
환대, hospitality
성실, sincerity
자립, independence
진취적, progressive
겸손, unassuming
고마움, thankfulness
강조, emphasis
포용, embrace
책임, responsibility
애정, affection
사회성, sociability
공감, sympathy
성장, growth
인기, favor
소망, longing
평화, harmony
정의, fairness
희망, aspiration
봉사, service
존경, admiration
인내, patience
성취, accomplishment
존경, reverence
경험, experience
기쁨, joy
자부심, pride
자신감, self-confidence
창조, creation
노력, effort
열정, passion
성공, success
친절, kindness
정직, honesty
축복, blessing
신뢰, trust
예의, courtesy
감동, emotion
협력, cooperation
성장, growth
포용, inclusiveness
휴식, relaxation
솔직, frankness
선의, goodwill
낭만, romance
존재, existence
화려, splendor
타협, compromise
완성, completion
풍요, abundance
성실, faithfulness
휴식, rest
겸손, modesty
사회성, sociability
사려, thoughtfulness
친절, kindness
규칙, regulation
행복, bliss
신뢰, reliance
존경, esteem
도덕, morality
도움, aid
최선, best
평화, tranquility
선한, goodness
바람직한, desirable
마음가짐, mindset
감동, inspiration
환대, hospitality
솔직, sincerity
유머, humor
격려, encouragement
소외, alienation
사교, sociability
신선, freshness
의미, meaning
우정, friendship
감사, appreciation
관용, tolerance
행운, luck
감동, touched
인기, popularity
축하, congratulations
성취, achievement
안전, safety
만족, satisfaction
도전, challenge
성공, success
경험, experience
자유, freedom
진실, truth
영감, inspiration
환경, environment
소중, precious
감사, gratitude
친구, friend
희망, hope
평화, peace
성장, growth
봉사, service
존경, respect
이해, understanding
신뢰, trust
열정, passion
희망, aspiration
희열, joy
진정, sincerity
강조, emphasis
관심, interest
효율, efficiency
균형, balance
열정, enthusiasm
창의, creativity
자부심, pride
투자, investment
소통, communication
헌신, dedication
신선, freshness
자부심, self-esteem
겸손, humility
공정, fairness
헌신, commitment
창조, creation
신념, belief
사회, society
자부심, confidence
인정, recognition
성실, diligence
정직, honesty
자발적, voluntary
성장, development
친절, kindness
창조적, innovative
창조, invention
자유, liberty
포용, inclusiveness
휴식, relaxation
참여, participation
창의, originality
즐거움, pleasure
혁신, innovation
우정, friendship
설득, persuasion
효과, effectiveness
창의성, imagination
도움, assistance
역량, competence
감동, emotion
완성, completion
독립, independence
희망, expectation
인생, life
고마움, gratefulness
희생, sacrifice
목표, goal
존경, admiration
실현, realization
도전, venture
신뢰, faith
예의, courtesy
공감, empathy
업적, achievement
참신, novel
지지, support
인재, talent
장인, craftsman
낭만, romance
열정, zeal
유대, bond
열정, fervor
격려, encouragement
장인정신, craftsmanship
인내, patience
도덕, ethics
예의, etiquette
유쾌, cheerful
경쟁, competition
신념, conviction
자부심, self-respect
환경, surrounding
모험, adventure
의지, determination
즐거움, delight
인내심, endurance
성공, triumph
겸손, humbleness
자부심, self-pride
유익, beneficial
인기, reputation
전문가, expert
인식, perception
감동, impression
기대, anticipation
확신, confidence
역할, role
협의, consensus
일꾼, worker
유쾌, pleasantness
방어, defense
우호, goodwill
창의력, creativity
확실, certainty
지지, endorsement
축복, blessing
협동, synergy
꿈꾸는, dreamy
협업, collaboration
향상, enhancement
창조성, inventiveness
공정, equity
정신, spirit
창조, forming
자격, eligibility
강조, accent
다양성, diversity
고요, tranquility
역할, function
협력, teamwork
열정적, passionate
신뢰, reliance
효과적, effective
평온, serenity
전문가, specialist
예방, prevention
열성, fervency
선호, preference
신속, promptness
융통성, adaptability
존재, existence
과제, assignment
정직, uprightness
안전, safety
관계, relationship
용감, bravery
자신감, confidence
안정, stability
즐겁, enjoyable
성공, successful
효과, efficacy
낙관, optimism
조화, coordination
선호, favor
규칙, regulation
포용, acceptance
인기, popularity
감사, gratefulness
관용, tolerance
행운, fortune
감동, moved
성취, attainment
안정, secureness
유익, advantageous
자아, self
신기, marvelous
협동심, cooperativeness
선호, liking
발전, progression
협력, cooperation
활기, vitality
배려, consideration
효과적, efficient
융통성, flexibility
단합, unity
협동, collaboration
전략, strategy
지지, backing
자부심, self-contentment
성장, improvement
진심, heartfelt
창조, generating
창의, original
열심히, hard
창조적, inventive
관심, attentiveness
포용, tolerance
참여, engagement
인기, fame
성취, accomplishment
규칙, rule
안정, stability
휴식, rest
겸손, modesty
사회성, sociability
포용, inclusiveness
휴식, relaxation
희망, hope
친밀, intimacy
감성, sensibility
주도, leadership
희망적인, optimistic
강조, accentuation
조화, harmony
다채로운, colorful
전문, specialization
탄력, resilience
온화, mildness
인공, artificial
발휘, manifestation
인정받은, recognized
경쟁력, competitiveness
지원, support
창출, establishment
융통성, flexibility
소외감, alienation
연구, research
감사, gratefulness
애정어린, affectionate
새롭, fresh
혁신적, innovative
자격, qualification
의무, obligation
발전, advancement
확장, expansion
유명, famous
전문적, professional
지원, assistance
자긍심, self-esteem
환영, welcome
추구, pursuit
존경, respect
정직, integrity
인격, personality
유대, bond
근면, diligence
몰입, immersion
지식, knowledge
감동, sentiment
신선, fresh
감사, appreciation
존경, admiration
일자리, job
희생, sacrifice
동기, motive
인생, life
유익, beneficial
자비, mercy
열심히, diligently
창의성, creativity
기쁨, joy
자아, self
정신적, mental
격려, encouragement
의지, will
창의, imaginative
기억, memory
선한, good
영감, inspiration
진심, sincerity
협력, collaboration
성장, growth
참여, participation
사회, society
자부심, self-esteem
공정, justice
유익, advantageous
자유, liberty
축복, blessing
고마움, gratitude
인생, life
희망, hope
성장, growth
자비, mercy
평화, peace
소중, precious
감사, appreciation
친구, friend
희열, joy
진정, sincerity
강조, emphasis
관심, interest
효율, efficiency
균형, balance
열정, enthusiasm
창의, creativity
자부심, pride
투자, investment
소통, communication
헌신, dedication
신선, freshness
자부심, self-esteem
겸손, humility
공정, fairness
헌신, commitment
창조, creation
신념, belief
사회, society
자부심, confidence
인정, recognition
성실, diligence
정직, honesty
자발적, voluntary
성장, development
친절, kindness
창조적, innovative
창조, invention
자유, liberty
포용, inclusiveness
휴식, relaxation
참여, participation
창의, originality
즐거움, pleasure
혁신, innovation
우정, friendship
설득, persuasion
효과, effectiveness
창의성, imagination
도움, assistance
역량, competence
감동, emotion
완성, completion
독립, independence
희망, expectation
예술, art
인생, life
고마움, gratefulness
희생, sacrifice
목표, goal
존경, admiration
실현, realization
도전, venture
신뢰, faith
예의, courtesy
공감, empathy
업적, achievement
참신, novel
지지, support
인재, talent
장인, craftsman
낭만, romance
열정, zeal
유대, bond
열정, fervor
격려, encouragement
장인정신, craftsmanship
인내, patience
도덕, ethics
예의, etiquette
유쾌, cheerful
경쟁, competition
신념, conviction
자부심, self-respect
환경, surrounding
모험, adventure
의지, determination
즐거움, delight
인내심, endurance
성공, triumph
겸손, humbleness
자부심, self-pride
유익, beneficial
인기, reputation
전문가, expert
인식, perception
감동, impression
기대, anticipation
확신, confidence
역할, role
협의, consensus
일꾼, worker
유쾌, pleasantness
방어, defense
우호, goodwill
창의력, creativity
확실, certainty
지지, endorsement
축복, blessing
협동, synergy
협업, collaboration
향상, enhancement
창조성, inventiveness
공정, equity
정신, spirit
창조, forming
자격, eligibility
강조, accent
다양성, diversity
고요, tranquility
역할, function
협력, teamwork
열정적, passionate
신뢰, reliance
효과적, effective
평온, serenity
전문가, specialist
예방, prevention
열성, fervency
선호, preference
신속, promptness
융통성, adaptability
존재, existence
과제, assignment
정직, uprightness
안전, safety
관계, relationship
용감, bravery
자신감, confidence
안정, stability
즐겁, enjoyable
성공, successful
효과, efficacy
낙관, optimism
조화, coordination
선호, favor
규칙, regulation
포용, acceptance
인기, popularity
감사, gratefulness
관용, tolerance
행운, fortune
감동, moved
성취, attainment
안정, secureness
유익, advantageous
자아, self
신기, marvelous
협동심, cooperativeness
선호, liking
발전, progression
협력, cooperation
활기, vitality
배려, consideration
효과적, efficient
융통성, flexibility
단합, unity
협동, collaboration
전략, strategy
지지, backing
자부심, self-contentment
성장, improvement
진심, heartfelt
창조, generating
창의, original
열심히, hard
창조적, inventive
관심, attentiveness
포용, tolerance
참여, engagement
인기, fame
성취, accomplishment
규칙, rule
안정, stability
휴식, rest
겸손, modesty
사회성, sociability
포용, inclusiveness
휴식, relaxation
희망, hope
친밀, intimacy
감성, sensibility
주도, leadership
희망적인, optimistic
강조, accentuation
조화, harmony
다채로운, colorful
전문, specialization
탄력, resilience
온화, mildness
인공, artificial
발휘, manifestation
인정받은, recognized
경쟁력, competitiveness
지원, support
창출, establishment
융통성, flexibility
소외감, alienation
사랑스러운, adorable
연구, research
감사, gratefulness
애정어린, affectionate
새롭, fresh
혁신적, innovative
자격, qualification
의무, obligation
발전, advancement
확장, expansion
유명, famous
전문적, professional
지원, assistance
자긍심, self-esteem
환영, welcome
추구, pursuit
존경, respect
정직, integrity
인격, personality
유대, bond
근면, diligence
몰입, immersion
지식, knowledge
감동, sentiment
신선, fresh
감사, appreciation
김신, shikim
정재희, jaehejun
오언주, eoh
김정주, jungjkim
박형준, hyungjup
